time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-6-5 16:00,33,25,63,0,,160,7,,1008,,3
2024-6-5 17:00,32,25.1,67,0,,140,11,,1008,,3
2024-6-5 18:00,32,24.1,63,0,,150,11,,1008,,3
2024-6-5 19:00,31,25.1,71,0,,150,11,,1009,,2
2024-6-5 20:00,31,25.1,71,0,,120,11,,1009,,3
2024-6-5 21:00,30,25.1,75,0,,150,9,,1010,,3
2024-6-5 22:00,30,23.9,70,0,,130,7,,1011,,3
2024-6-5 23:00,30,25.1,75,0,,130,9,,1011,,3
2024-6-6 0:00,29,25,79,0,,120,7,,1012,,3
2024-6-6 1:00,30,25.1,75,0,,130,9,,1012,,3
2024-6-6 2:00,30,26,79,0,,120,9,,1011,,3
2024-6-6 3:00,29,26,84,0,,110,7,,1010,,3
2024-6-6 4:00,29,26,84,0,,110,7,,1010,,3
2024-6-6 5:00,29,26,84,0,,110,6,,1010,,1
2024-6-6 6:00,29,25,79,0,,110,6,,1010,,2
2024-6-6 7:00,29,25,79,0,,90,6,,1010,,2
2024-6-6 8:00,30,26,79,0,,110,6,,1011,,2
2024-6-6 9:00,31,25.1,71,0.6,,110,11,,1011,,17
2024-6-6 10:00,32,26.1,71,1.7,,110,9,,1011,,18
2024-6-6 11:00,32,24.1,63,0,,140,13,,1012,,3
2024-6-6 12:00,33,25,63,0,,100,13,,1011,,3
2024-6-6 13:00,34,23.1,53,0.5,,120,9,,1010,,17
2024-6-6 14:00,32,24.1,63,1.5,,90,15,,1010,,9
2024-6-6 15:00,26,24,89,0.2,,40,7,,1010,,7
2024-6-6 16:00,26,24,89,0,,70,7,,1010,,3
2024-6-6 17:00,26,25,94,0,,13,4,,1009,,3
2024-6-6 18:00,27,25,89,0.3,,288,4,,1009,,17
2024-6-6 19:00,27,25,89,0,,256,4,,1010,,3
2024-6-6 20:00,27,25,89,0,,225,2,,1010,,3
2024-6-6 21:00,27,25,89,0,,272,2,,1011,,3
2024-6-6 22:00,27,25,89,0,,294,4,,1012,,3
2024-6-6 23:00,27,25,89,0,,319,4,,1012,,3
2024-6-7 0:00,27,25,89,0,,317,9.7,,1012,,3
2024-6-7 1:00,26,25,94,0,,230,4,,1012,,3
2024-6-7 2:00,26,25,94,0,,326,2,,1011,,5
2024-6-7 3:00,26,25,94,0,,220,4,,1010,,5
2024-6-7 4:00,26,25,94,0,,310,2,,1010,,5
2024-6-7 5:00,26,25,94,0,,320,6,,1010,,5
2024-6-7 6:00,26,25,94,0,,230,4,,1010,,5
2024-6-7 7:00,27,25,89,0,,264,2,,1010,,3
2024-6-7 8:00,27,25,89,0,,268,12.2,,1010,,3
2024-6-7 9:00,29,24.1,75,0,,263,11.5,,1011,,3
2024-6-7 10:00,29,25,79,0,,250,6,,1011,,3
2024-6-7 11:00,28.5,24.1,77,0,,231,4.3,,1012.2,,3
2024-6-7 12:00,33,25,63,0,,320,4,,1010,,3
2024-6-7 13:00,29,25,79,0,,210,20,,1009,,3
2024-6-7 14:00,29,24.1,75,0,,150,13,,1009,,3
2024-6-7 15:00,28,25,84,0,,340,4,,1008,,3
2024-6-7 16:00,29,25,79,0,,244,4,,1008,,2
2024-6-7 17:00,31,25.1,71,0,,210,9,,1007,,3
2024-6-7 18:00,30,25.1,75,0,,200,6,,1007,,2
2024-6-7 19:00,30,25.1,75,0,,185,2,,1007,,2
2024-6-7 20:00,29,25,79,0,,140,6,,1007,,1
2024-6-7 21:00,29,25,79,0,,110,6,,1008,,1
2024-6-7 22:00,29,25,79,0,,140,4,,1009,,1
2024-6-7 23:00,28,25,84,0,,151,2,,1010,,1
2024-6-8 0:00,28,25,84,0,,151,2,,1010,,1
2024-6-8 1:00,27,26,94,0,,200,4,,1010,,2
2024-6-8 2:00,27,25,89,0,,170,2,,1010,,3
2024-6-8 3:00,27,26,94,0,,164,2,,1009,,3
2024-6-8 4:00,27,26,94,0,,196,2,,1008,,3
2024-6-8 5:00,27,26,94,0,,280,4,,1008,,3
2024-6-8 6:00,27,26,94,0,,185,2,,1009,,2
2024-6-8 7:00,27,26,94,0,,145,2,,1009,,2
2024-6-8 8:00,28,26.9,94,0,,137,2,,1010,,3
2024-6-8 9:00,29,27,89,1.2,,158,2,,1010,,9
2024-6-8 10:00,30,26,79,7.7,,150,6,,1010,,9
2024-6-8 11:00,30,25.1,75,0.6,,190,11,,1010,,8
2024-6-8 12:00,30,25.1,75,0.1,,220,11,,1010,,7
2024-6-8 13:00,30,23.9,70,0.3,,220,13,,1009,,8
2024-6-8 14:00,31,23.1,63,0.2,,240,6,,1008,,7
2024-6-8 15:00,30,23.9,70,0.2,,330,6,,1008,,17
2024-6-8 16:00,30,23.9,70,2.7,,210,4,,1008,,18
2024-6-8 17:00,29,26,84,0.7,,70,9,,1007,,8
2024-6-8 18:00,29,26,84,0.7,,60,6,,1007,,8
2024-6-8 19:00,28,25,84,0.2,,340,4,,1008,,7
2024-6-8 20:00,28,25,84,0.2,,359,4,,1009,,7
2024-6-8 21:00,28,26,89,0,,40,7,,1009,,3
2024-6-8 22:00,28,26,89,0,,70,6,,1009,,3
2024-6-8 23:00,27,26,94,0,,30,4,,1009,,3
2024-6-9 0:00,28,26,89,0,,93,4,,1009,,3
2024-6-9 1:00,27,26,94,0,,125,2,,1009,,3
2024-6-9 2:00,27,25,89,0,,160,4,,1009,,3
2024-6-9 3:00,27,25,89,0,,168,2,,1008,,3
2024-6-9 4:00,27,26,94,0,,188,4,,1008,,2
2024-6-9 5:00,26,25,94,0,,270,2,,1008,,2
2024-6-9 6:00,26,25,94,0,,192,14,,1009,,5
2024-6-9 7:00,26,25,94,0,,182,2,,1009,,5
2024-6-9 8:00,28,26.9,94,0,,196,18.4,,1009,,5
2024-6-9 9:00,30,26,79,0.2,,216,4,,1010,,17
2024-6-9 10:00,30,25.1,75,0.1,,200,11,,1010,,17
2024-6-9 11:00,31,26,75,0.2,,220,7,,1010,,7
2024-6-9 12:00,30,25.1,75,0.4,,330,7,,1010,,8
2024-6-9 13:00,29,24.1,75,0.2,,170,9,,1010,,17
2024-6-9 14:00,29,25,79,0.1,,210,6,,1009,,17
2024-6-9 15:00,31,23.9,66,1,,220,11,,1009,,18
2024-6-9 16:00,32,23,59,0.2,,220,9,,1008,,7
2024-6-9 17:00,32,24.1,63,0,,230,7,,1008,,3
2024-6-9 18:00,31,23.9,66,0,,210,7,,1008,,3
2024-6-9 19:00,30,23.9,70,0,,200,7,,1009,,3
2024-6-9 20:00,29,25,79,0,,215,4,,1009,,3
2024-6-9 21:00,29,26,84,0,,270,4,,1010,,3
2024-6-9 22:00,29,25,79,0,,180,7,,1011,,3
2024-6-9 23:00,29,25,79,0,,170,9,,1011,,3
2024-6-10 0:00,28,25,84,0,,200,7,,1012,,3
2024-6-10 1:00,28,25,84,0,,190,6,,1011,,3
2024-6-10 2:00,27,25,89,0,,192,4,,1011,,3
2024-6-10 3:00,27,25,89,0,,250,4,,1010,,3
2024-6-10 4:00,27,26,94,0,,244,2,,1010,,3
2024-6-10 5:00,26,26,100,0,,277,2,,1010,,3
2024-6-10 6:00,26,25,94,0,,210,4,,1010,,3
2024-6-10 7:00,26,26,100,0,,268,2,,1010,,3
2024-6-10 8:00,29,26,84,0,,272,12.6,,1011,,3
2024-6-10 9:00,28,26,89,0,,170,7,,1011,,3
2024-6-10 10:00,25,25,100,0,,110,7,,1012,,2
2024-6-10 11:00,28,26,89,0,,60,2,,1011,,2
2024-6-10 12:00,29,25,79,0,,186,4,,1011,,3
2024-6-10 13:00,30,23,66,0,,240,6,,1010,,3
2024-6-10 14:00,31,25.1,71,0,,200,6,,1010,,3
2024-6-10 15:00,28,25,84,0.2,,140,11,,1009,,17
2024-6-10 16:00,29,26,84,0.2,,90,6,,1008,,7
2024-6-10 17:00,29,26,84,0.5,,20,6,,1008,,8
2024-6-10 18:00,30,26,79,1.2,,107,4,,1009,,9
2024-6-10 19:00,29,26,84,0,,60,6,,1009,,3
2024-6-10 20:00,28,25,84,0,,40,7,,1010,,3
2024-6-10 21:00,28,25,84,0,,350,4,,1011,,3
2024-6-10 22:00,27,25,89,0,,151,4,,1012,,3
2024-6-10 23:00,27,25,89,0,,145,2,,1012,,3
2024-6-11 0:00,27,25,89,0,,129,2,,1012,,3
2024-6-11 1:00,27,26,94,0,,50,4,,1012,,3
2024-6-11 2:00,27,26,94,0,,99,2,,1011,,3
2024-6-11 3:00,27,26,94,0,,309,4,,1011,,3
2024-6-11 4:00,27,26,94,0,,340,4,,1010,,3
2024-6-11 5:00,26,25,94,0,,50,4,,1010,,5
2024-6-11 6:00,26,25,94,0,,180,2,,1011,,3
2024-6-11 7:00,26,26,100,0,,306,2,,1012,,5
2024-6-11 8:00,29,26,84,0,,289,2,,1012,,5
2024-6-11 9:00,30,26,79,0,,149,4,,1012,,5
2024-6-11 10:00,32,26.1,71,0,,146,4,,1012,,2
2024-6-11 11:00,33,25,63,0,,100,7,,1012,,2
2024-6-11 12:00,33,23.9,59,0.4,,150,11,,1011,,17
2024-6-11 13:00,33,23.1,56,0.4,,100,11,,1010,,17
2024-6-11 14:00,34,23.1,53,0.7,,120,9,,1009,,17
2024-6-11 15:00,33,23.9,59,0,,120,11,,1008,,2
2024-6-11 16:00,32,24.1,63,0,,130,13,,1008,,1
2024-6-11 17:00,28,22.9,74,0,,115,11,,1009,,3
2024-6-11 18:00,27,23,79,0,,40,6,,1010,,3
2024-6-11 19:00,27,24.1,84,0,,100,4,,1010,,3
2024-6-11 20:00,27,24.1,84,0,,200,6,,1010,,3
2024-6-11 21:00,27,24.1,84,0,,135,4,,1011,,3
2024-6-11 22:00,27,24.1,84,0,,145,10.8,,1012,,3
2024-6-11 23:00,27,25,89,0,,30,6,,1012,,3
2024-6-12 0:00,27,25,89,0,,143,4,,1012,,2
2024-6-12 1:00,27,25,89,0,,50,6,,1012,,3
2024-6-12 2:00,27,25,89,0,,170,4,,1011,,3
2024-6-12 3:00,27,25,89,0,,181,2,,1011,,3
2024-6-12 4:00,26,25,94,0,,199,2,,1010,,3
2024-6-12 5:00,26,25,94,0,,220,2,,1011,,3
2024-6-12 6:00,26,25,94,0,,256,4,,1011,,3
2024-6-12 7:00,26,25,94,0,,338,3.2,,1012,,5
2024-6-12 8:00,28,25,84,0,,182,2,,1012,,5
2024-6-12 9:00,30,26,79,0,,176,4,,1013,,5
2024-6-12 10:00,31,26,75,0,,172,6,,1013,,2
2024-6-12 11:00,29,24.1,75,0.2,,200,13,,1013,,17
2024-6-12 12:00,26,25,94,2.6,,240,7,,1013,,18
2024-6-12 13:00,28,25,84,0.2,,175,4,,1013,,17
2024-6-12 14:00,31,23.1,63,0.1,,160,7,,1012,,17
2024-6-12 15:00,31,25.1,71,0,,150,9,,1010,,2
2024-6-12 16:00,32,23,59,0,,163,7,,1009,,3
2024-6-12 17:00,32,25.1,67,0,,200,7,,1009,,1
2024-6-12 18:00,31,23.9,66,0,,170,7,,1009,,3
2024-6-12 19:00,30,23,66,1.3,,180,6,,1010,,18
2024-6-12 20:00,30,23,66,4.9,,292,4,,1011,,9
2024-6-12 21:00,29,24.1,75,0.2,,240,2,,1012,,7
2024-6-12 22:00,28,25,84,0,,159,4,,1012,,3
2024-6-12 23:00,27,24.1,84,0,,120,6,,1012,,3
2024-6-13 0:00,27,24.1,84,0,,180,2,,1012,,3
2024-6-13 1:00,27,24.1,84,0,,178,2,,1012,,3
2024-6-13 2:00,27,24.1,84,0,,226,2,,1011,,3
2024-6-13 3:00,26,25,94,0,,272,2,,1011,,3
2024-6-13 4:00,26,25,94,0,,13,2,,1011,,3
2024-6-13 5:00,26,24,89,0,,4,2,,1010,,3
2024-6-13 6:00,26,25,94,0,,329,2,,1011,,3
2024-6-13 7:00,26,24,89,0,,333,2,,1011,,5
2024-6-13 8:00,27,25,89,0,,121,2,,1011,,5
2024-6-13 9:00,30,25.1,75,0,,218,4,,1012,,3
2024-6-13 10:00,31,25.1,71,1,,190,6,,1012,,18
2024-6-13 11:00,31,23.9,66,0,,188,7,,1011,,3
2024-6-13 12:00,32,24.1,63,0,,172,4,,1011,,3
2024-6-13 13:00,33,23.1,56,0,,141,4,,1010,,3
2024-6-13 14:00,32,23,59,0.1,,130,9,,1009,,17
2024-6-13 15:00,33,23.1,56,2.8,,267,6,,1008,,18
2024-6-13 16:00,33,23.1,56,0.5,,210,9,,1008,,8
2024-6-13 17:00,31,23.9,66,0.3,,240,9,,1008,,8
2024-6-13 18:00,31,23.9,66,4.1,,357,4,,1008,,9
2024-6-13 19:00,29,25,79,0,,70,11,,1008,,1
2024-6-13 20:00,29,24.1,75,0,,110,7,,1010,,1
2024-6-13 21:00,29,25,79,0,,70,7,,1010,,2
2024-6-13 22:00,29,25,79,0,,201,4,,1011,,3
2024-6-13 23:00,29,25,79,3.6,,150,4,,1011,,18
2024-6-14 0:00,28,25,84,0,,147,2,,1011,,2
2024-6-14 1:00,28,25,84,0,,147,2,,1011,,2
2024-6-14 2:00,27,25,89,0,,147,2,,1010,,2
2024-6-14 3:00,27,26,94,0,,138,4,,1009,,2
2024-6-14 4:00,27,26,94,0,,317,2,,1009,,2
2024-6-14 5:00,27,25,89,0,,304,4,,1009,,5
2024-6-14 6:00,27,26,94,0,,309,4,,1009,,5
2024-6-14 7:00,27,26,94,0,,306,2,,1009,,5
2024-6-14 8:00,28,26,89,0,,50,4,,1009,,5
2024-6-14 9:00,30,26,79,0,,272,2,,1009,,5
2024-6-14 10:00,31,26,75,0.2,,220,6,,1010,,17
2024-6-14 11:00,31,25.1,71,0.2,,189,6,,1009,,17
2024-6-14 12:00,33,25,63,0.2,,300,7,,1009,,17
2024-6-14 13:00,29,25,79,0.2,,140,13,,1008,,17
2024-6-14 14:00,25,24,94,3.6,,250,7,,1008,,18
2024-6-14 15:00,26,24,89,0.8,,210,9,,1008,,17
2024-6-14 16:00,27,25,89,0.2,,300,6,,1007,,17
2024-6-14 17:00,28,25,84,0.4,,10,7,,1007,,17
2024-6-14 18:00,28,25,84,0.2,,10,11,,1008,,17
2024-6-14 19:00,27,25,89,0.2,,331,2,,1008,,17
2024-6-14 20:00,27,25,89,0,,30,9,,1008,,3
2024-6-14 21:00,27,24.1,84,0,,320,4,,1009,,2
2024-6-14 22:00,27,25,89,0,,350,6,,1009,,3
2024-6-14 23:00,27,24.1,84,0,,242,2,,1009,,1
2024-6-15 0:00,26,25,94,0,,205,2,,1009,,2
2024-6-15 1:00,26,25,94,0,,229,2,,1009,,3
2024-6-15 2:00,27,25,89,4.3,,251,4,,1009,,9
2024-6-15 3:00,27,25,89,0.4,,187,2,,1008,,17
2024-6-15 4:00,26,25,94,0,,182,2,,1008,,2
2024-6-15 5:00,26,25,94,0,,209,2,,1008,,2
2024-6-15 6:00,26,25,94,0,,252,9.4,,1008,,5
2024-6-15 7:00,26,25,94,0,,243,2,,1009,,3
2024-6-15 8:00,27,26,94,0,,245,2,,1009,,5
2024-6-15 9:00,28,22.9,74,0,,200,9,,1009,,3
2024-6-15 10:00,28,24,79,0,,190,6,,1010,,3
2024-6-15 11:00,30,25.1,75,1.3,,206,4,,1009,,9
2024-6-15 12:00,31,26,75,0.4,,240,7,,1008,,8
2024-6-15 13:00,31,25.1,71,0,,270,7,,1007,,3
2024-6-15 14:00,32,25.1,67,0,,250,7,,1007,,3
2024-6-15 15:00,31,25.1,71,0.7,,250,7,,1006,,8
2024-6-15 16:00,31,25.1,71,0.6,,230,7,,1006,,8
2024-6-15 17:00,31,25.1,71,0,,240,6,,1006,,3
2024-6-15 18:00,30,25.1,75,0.1,,250,7,,1006,,7
2024-6-15 19:00,30,25.1,75,0,,240,6,,1006,,3
2024-6-15 20:00,29,25,79,0,,60,4,,1007,,3
2024-6-15 21:00,29,25,79,0,,217,4,,1008,,3
2024-6-15 22:00,28,25,84,0.6,,191,4,,1009,,8
2024-6-15 23:00,28,25,84,0,,176,2,,1009,,3
2024-6-16 0:00,28,25,84,0,,250,2,,1009,,3
2024-6-16 1:00,28,26,89,0,,30,6,,1009,,3
2024-6-16 2:00,26,25,94,0,,140,9,,1009,,3
2024-6-16 3:00,24,24,100,0,,260,15,,1010,,3
2024-6-16 4:00,24,23,94,0,,177,4,,1009,,3
2024-6-16 5:00,24,23,94,0,,230,6,,1008,,3
2024-6-16 6:00,24,24,100,0,,46,4,,1009,,3
2024-6-16 7:00,25,24,94,0,,30,6,,1009,,3
2024-6-16 8:00,25,23.1,89,0,,136,4,,1010,,3
2024-6-16 9:00,26,23.1,84,1.5,,178,2,,1011,,9
2024-6-16 10:00,27,24.1,84,2.5,,138,2,,1011,,9
2024-6-16 11:00,29,24.1,75,0,,120,6,,1010,,3
2024-6-16 12:00,31,23.9,66,0.1,,190,7,,1010,,17
2024-6-16 13:00,32,25.1,67,0.5,,200,11,,1009,,8
2024-6-16 14:00,31,23.9,66,0.3,,170,9,,1008,,8
2024-6-16 15:00,32,24.1,63,0.6,,210,11,,1007,,8
2024-6-16 16:00,31,23.9,66,0,,180,15,,1007,,3
2024-6-16 17:00,32,25.1,67,0,,210,11,,1006,,2
2024-6-16 18:00,31,23.9,66,0,,230,9,,1007,,2
2024-6-16 19:00,30,23.9,70,0,,230,7,,1007,,3
2024-6-16 20:00,29,25,79,0,,230,6,,1008,,3
2024-6-16 21:00,29,25,79,0,,215,4,,1009,,3
2024-6-16 22:00,29,25,79,0,,257,2,,1010,,3
2024-6-16 23:00,28,26,89,0,,270,4,,1010,,3
2024-6-17 0:00,28,25,84,0,,273,2,,1010,,3
2024-6-17 1:00,27,26,94,0,,287,2,,1010,,2
2024-6-17 2:00,27,26,94,0,,250,6,,1009,,3
2024-6-17 3:00,27,26,94,0,,252,4,,1009,,3
2024-6-17 4:00,27,25,89,1.1,,249,4,,1009,,18
2024-6-17 5:00,27,24.1,84,0.9,,245,4,,1009,,8
2024-6-17 6:00,25,24,94,0,,255,4,,1009,,3
2024-6-17 7:00,26,24,89,0.2,,258,4,,1010,,7
2024-6-17 8:00,27,24.1,84,0.4,,270,4,,1010,,8
2024-6-17 9:00,28,24,79,0,,258,7,,1011,,3
2024-6-17 10:00,28.1,24.7,82,0,,246,20.9,,1011.8,,3
2024-6-17 11:00,30,25.1,75,0.1,,270,9,,1011,,17
2024-6-17 12:00,29.2,25.4,80,0.2,,221,22,,1011.5,,7
2024-6-17 13:00,28.9,24.9,79,2.1,,232,23,,1010.9,,18
2024-6-17 14:00,32,25.1,67,0.2,,260,13,,1009,,17
2024-6-17 15:00,32,25.1,67,2,,250,11,,1008,,18
2024-6-17 16:00,32,24.1,63,0.5,,260,9,,1007,,17
2024-6-17 17:00,29,23,70,0,,210,24,,1008,,3
2024-6-17 18:00,27,23,79,0,,240,15,,1009,,3
2024-6-17 19:00,27,24.1,84,0,,240,6,,1009,,2
2024-6-17 20:00,27,24.1,84,0,,231,4,,1009,,1
2024-6-17 21:00,26.6,24.8,90,0,,238,9,,1010.7,,1
2024-6-17 22:00,27,24.1,84,0,,238,2,,1011,,2
2024-6-17 23:00,27,25,89,0,,243,4,,1010,,3
2024-6-18 0:00,27,25,89,0,,256,4,,1011,,3
2024-6-18 1:00,27,24.1,84,0.1,,340,6,,1010,,17
2024-6-18 2:00,27,24.1,84,0,,241,4,,1010,,3
2024-6-18 3:00,26,24,89,0,,256,2,,1009,,5
2024-6-18 4:00,26,24,89,0,,258,2,,1009,,5
2024-6-18 5:00,26,24,89,0,,255,2,,1009,,5
2024-6-18 6:00,26,24,89,0,,221,2,,1008,,5
2024-6-18 7:00,26,25,94,0,,253,2,,1009,,5
2024-6-18 8:00,25.6,24.2,92,0.7,,231,17.6,,1010.5,,8
2024-6-18 9:00,28,25,84,0.2,,217,2,,1010,,7
2024-6-18 10:00,30,25.1,75,0,,200,2,,1010,,3
2024-6-18 11:00,31,23.9,66,0.5,,190,15,,1010,,17
2024-6-18 12:00,31,23.9,66,0.2,,210,11,,1010,,7
2024-6-18 13:00,32,25.1,67,0,,210,13,,1009,,3
2024-6-18 14:00,29,23,70,1,,150,26,,1009,,9
2024-6-18 15:00,28,24,79,4.3,,110,6,,1008,,9
2024-6-18 16:00,31,26,75,1.6,,200,9,,1007,,9
2024-6-18 17:00,30,25.1,75,0.1,,140,13,,1007,,17
2024-6-18 18:00,28,25,84,0,,110,6,,1008,,3
2024-6-18 19:00,29,25,79,0,,207,4,,1008,,2
2024-6-18 20:00,27,25,89,0,,234,4,,1009,,3
2024-6-18 21:00,27,25,89,0,,40,6,,1009,,3
